姓名,手机号,地址,入职日期
毕七十六,13633333339,江苏省苏州市相城区阳澄湖东路8号,2022/10/30
郝七十七,13544444450,山东省青岛市城阳区正阳中路192号,2023-05-04
常七十八,13455555561,辽宁省大连市甘井子区黄浦路500号,2021/02/07
武七十九,13366666672,浙江省宁波市江北区大庆南路189号,2022.07.22
乔八十,13277777783,浙江省温州市鹿城区五马街15号,2023-1-20
贺八十一,13188888894,安徽省合肥市包河区徽州大道1158号,2021/09/14
赖八十二,13099999995,湖北省武汉市武昌区东湖路181号,2022-03-26
龚八十三,13900000007,湖南省长沙市开福区营盘东路19号,2023/4/18
文八十四,13811111118,浙江省杭州市西湖区天目山路148号,2021.05.29
庞八十五,13722222229,江苏省南京市鼓楼区虎踞路86号,2020-08-05
樊八十六,13633333340,江苏省苏州市工业园区独墅湖大道2008号,2022/8/16
兰八十七,13544444451,福建省厦门市思明区鹭江道8号,2023-06-11
殷八十八,13455555562,福建省福州市台江区茶亭街道八一七中路189号,2021/11/24
施八十九,13366666673,广东省广州市天河区体育西路101号,2022.04.15
陶九十,13277777784,广东省深圳市南山区深南大道9998号,2023-2-11
洪九十一,13188888895,四川省成都市武侯区桐梓林东路9号,2021/03/19
曹九十二,13099999996,湖北省武汉市江岸区建设大道709号,2022-09-07
金九十三,13900000008,河南省郑州市中原区中原中路220号,2023/1/30
魏九十四,13811111119,湖南省长沙市雨花区万家丽中路二段81号,2021.07.13
姜九十五,13722222230,江苏省南京市秦淮区建康路127号,2020-12-08
谢九十六,13633333341,江苏省苏州市姑苏区平江路189号,2022/11/19
邹九十七,13544444452,福建省厦门市湖里区东渡路124号,2023-04-06
喻九十八,13455555563,福建省福州市晋安区福新中路89号,2021/06/04
李·雷,133 6666 7777,台湾省台北市信义区信义路五段7号,2023年5月1日
韩梅梅,8613800000000,香港特别行政区中西区皇后大道中181号新纪元广场,2022.12.31
欧阳 锋,139-1234-5678,澳门特别行政区大堂区殷皇子大马路43-53号,2021/08/08
